Nodi,Processori,Processi,Thread,T_Setup (s),T_Compute (s),T_Totale (s),Speedup,Efficienza
1.0,1.0,1.0,1.0,17.4517,8.3068,25.7585,2.4643,246.4%
1.0,2.0,1.0,2.0,17.486,7.5162,25.0023,2.7235,136.2%
1.0,4.0,1.0,4.0,17.5224,7.0549,24.5774,2.9016,72.5%
1.0,8.0,1.0,8.0,17.4231,6.7051,24.1283,3.053,38.2%
1.0,16.0,1.0,16.0,17.7844,6.6072,24.3917,3.0982,19.4%
2.0,2.0,2.0,1.0,17.5595,6.5085,24.068,3.1452,157.3%
2.0,4.0,2.0,2.0,17.5679,5.5655,23.1335,3.6781,92.0%
2.0,8.0,2.0,4.0,17.5105,5.3278,22.8383,3.8422,48.0%
2.0,16.0,2.0,8.0,17.5093,5.1944,22.7039,3.9409,24.6%
2.0,32.0,2.0,16.0,17.5571,5.0998,22.657,4.014,12.5%
3.0,6.0,3.0,2.0,17.5598,3.6044,21.1642,5.6793,94.7%
3.0,12.0,3.0,4.0,17.5655,2.2714,19.837,9.0123,75.1%
3.0,24.0,3.0,8.0,17.5828,1.5059,19.0888,13.5935,56.6%
3.0,48.0,3.0,16.0,17.5603,1.1676,18.7279,17.5321,36.5%
4.0,8.0,4.0,2.0,17.6145,3.0005,20.615,6.8224,85.3%
4.0,16.0,4.0,4.0,17.6515,1.91,19.5616,10.7175,67.0%
4.0,32.0,4.0,8.0,17.6753,1.2615,18.9369,16.2271,50.7%
4.0,64.0,4.0,16.0,17.6493,0.9469,18.5962,21.6184,33.8%
4.0,60.0,6.0,10.0,17.6536,0.8603,18.514,23.7946,39.7%
4.0,16.0,8.0,2.0,17.8008,1.933,19.7334,10.59,66.2%
4.0,32.0,8.0,4.0,17.7473,1.2694,19.0165,16.1261,50.4%
4.0,48.0,8.0,6.0,17.8018,0.9845,18.7863,20.7928,43.3%
4.0,64.0,8.0,8.0,17.7524,0.7879,18.5404,25.9811,40.6%
4.0,32.0,16.0,2.0,18.9259,1.531,20.457,13.3707,41.8%
4.0,48.0,16.0,3.0,18.9567,1.2077,20.1644,16.95,35.3%
4.0,64.0,16.0,4.0,18.9328,0.9899,19.9228,20.6794,32.3%
