Nodi,Processori,Processi,Thread,T_Setup (s),T_Compute (s),T_Totale (s),Speedup,Efficienza
1.0,1.0,1.0,1.0,18.146,3.3685,21.5146,6.077,607.7%
1.0,2.0,1.0,2.0,17.8203,3.3684,21.1888,6.0772,303.9%
1.0,4.0,1.0,4.0,17.836,3.325,21.1611,6.1565,153.9%
1.0,8.0,1.0,8.0,17.769,3.3193,21.0884,6.1671,77.1%
1.0,16.0,1.0,16.0,17.7682,3.3306,21.0888,6.1462,38.4%
2.0,2.0,2.0,1.0,17.842,2.6917,20.5338,7.605,380.2%
2.0,4.0,2.0,2.0,17.8073,2.6741,20.4814,7.6551,191.4%
2.0,8.0,2.0,4.0,17.7747,2.6386,20.4134,7.7581,97.0%
2.0,16.0,2.0,8.0,17.9223,2.6328,20.5552,7.7752,48.6%
2.0,32.0,2.0,16.0,17.7916,2.6252,20.4169,7.7977,24.4%
3.0,6.0,3.0,2.0,17.8513,1.5267,19.378,13.4083,223.5%
3.0,12.0,3.0,4.0,17.722,1.0191,18.7412,20.0868,167.4%
3.0,24.0,3.0,8.0,17.8671,0.7136,18.5807,28.6862,119.5%
3.0,48.0,3.0,16.0,17.6552,0.5936,18.2488,34.4853,71.8%
4.0,8.0,4.0,2.0,17.864,1.2206,19.0847,16.7709,209.6%
4.0,16.0,4.0,4.0,17.6992,0.8285,18.5278,24.7079,154.4%
4.0,32.0,4.0,8.0,17.7072,0.5826,18.2899,35.1365,109.8%
4.0,64.0,4.0,16.0,17.6222,0.4816,18.1038,42.5052,66.4%
4.0,60.0,6.0,10.0,17.7196,0.4323,18.1519,47.3525,78.9%
4.0,16.0,8.0,2.0,17.7805,0.7894,18.5699,25.9317,162.1%
4.0,32.0,8.0,4.0,17.7593,0.554,18.3134,36.9504,115.5%
4.0,48.0,8.0,6.0,17.7656,0.4361,18.2018,46.9399,97.8%
4.0,64.0,8.0,8.0,17.7738,0.3846,18.1584,53.2254,83.2%
4.0,32.0,16.0,2.0,18.9164,0.8565,19.773,23.9002,74.7%
4.0,48.0,16.0,3.0,18.8734,0.7514,19.6249,27.2431,56.8%
4.0,64.0,16.0,4.0,19.1221,0.6838,19.8059,29.9364,46.8%
