Nodi,Processori,Processi,Thread,T_Setup (s),T_Compute (s),T_Totale (s),Speedup,Efficienza
1.0,1.0,1.0,1.0,17.4295,3.5084,20.938,5.8347,583.5%
1.0,2.0,1.0,2.0,17.3665,2.8601,20.2267,7.1573,357.9%
1.0,4.0,1.0,4.0,17.3137,2.1643,19.4781,9.4583,236.5%
1.0,8.0,1.0,8.0,17.5559,1.5272,19.0831,13.4039,167.5%
1.0,16.0,1.0,16.0,17.3772,1.2028,18.5801,17.019,106.4%
2.0,2.0,2.0,1.0,17.3896,2.875,20.2647,7.1202,356.0%
2.0,4.0,2.0,2.0,17.4697,2.8186,20.2884,7.2626,181.6%
2.0,8.0,2.0,4.0,17.4068,2.7817,20.1886,7.359,92.0%
2.0,16.0,2.0,8.0,17.9163,2.7784,20.6948,7.3677,46.0%
2.0,32.0,2.0,16.0,17.3798,2.7801,20.16,7.3632,23.0%
3.0,6.0,3.0,2.0,18.1643,1.7205,19.8849,11.898,198.3%
3.0,12.0,3.0,4.0,17.5013,1.1533,18.6546,17.7495,147.9%
3.0,24.0,3.0,8.0,17.4437,0.8399,18.2836,24.3725,101.6%
3.0,48.0,3.0,16.0,17.5241,0.7172,18.2413,28.5422,59.5%
4.0,8.0,4.0,2.0,17.8564,1.4458,19.3022,14.1586,177.0%
4.0,16.0,4.0,4.0,17.6093,1.0035,18.6128,20.3991,127.5%
4.0,32.0,4.0,8.0,17.5292,0.7236,18.2529,28.2898,88.4%
4.0,64.0,4.0,16.0,17.5425,0.6146,18.1571,33.307,52.0%
4.0,60.0,6.0,10.0,17.6321,0.6273,18.6595,32.6327,54.4%
4.0,16.0,8.0,2.0,17.7028,0.9989,18.7018,20.493,128.1%
4.0,32.0,8.0,4.0,18.0746,0.7272,18.8018,28.1498,88.0%
4.0,48.0,8.0,6.0,17.7608,0.5893,18.3502,34.737,72.4%
4.0,64.0,8.0,8.0,17.6716,0.5132,18.1848,39.888,62.3%
4.0,32.0,16.0,2.0,18.8636,0.9242,19.7879,22.1494,69.2%
4.0,48.0,16.0,3.0,19.0049,0.7801,19.0851,26.2409,54.7%
4.0,64.0,16.0,4.0,18.9143,0.6931,19.6075,29.5347,46.1%
