Nodi,Processori,Processi,T_Setup (s),T_Compute (s),T_Totale (s),Speedup,Efficienza
1,1,1,17.4244,7.2666,24.6911,2.8171,281.7%
1,2,2,18.1947,6.0778,24.2725,3.3681,168.4%
1,4,4,18.3435,4.1908,22.5344,4.8846,122.1%
1,8,8,19.249,3.0625,22.3116,6.6842,83.6%
1,16,16,19.377,2.3601,21.7372,8.6736,54.2%
2,17,17,20.2308,3.3568,23.5877,6.0982,35.9%
2,32,32,20.9749,2.8205,23.7954,7.2578,22.7%
3,33,33,21.0936,2.7989,23.8926,7.3138,22.2%
3,48,48,21.4739,2.3377,23.8117,8.7567,18.2%
4,64,64,22.1852,2.2029,24.3882,9.2925,14.5%
4,64,128,40.6708,3.8613,44.5231,5.3015,8.3%
