Nodi,Processori,Processi,T_Setup (s),T_Compute (s),T_Totale (s),Speedup,Efficienza
1,1,1,12.9757,8.9626,21.9383,2.284,228.4%
1,2,2,13.7051,8.0207,21.7258,2.5522,127.6%
1,4,4,13.6975,6.144,19.0815,3.3318,83.3%
1,8,8,14.6487,5.0277,19.6764,4.0715,50.9%
1,16,16,14.8176,4.2696,19.0872,4.7945,30.0%
2,17,17,15.2418,9.9347,25.1766,2.0605,12.1%
2,32,32,15.5045,12.7495,28.2451,1.6056,5.0%
3,33,33,15.6992,13.0303,28.7295,1.571,4.8%
3,48,48,16.0057,15.9715,31.9773,1.2817,2.7%
4,64,64,16.2217,19.7529,35.9746,1.0363,1.6%
4,64,128,33.6483,83.2452,116.8936,0.2459,0.4%
,,,
